"","ccode","year","warl","onset","gdpenl","lpopl1","lmtnest","Oil","ncontig","ethfrac","relfrac","nwstate","polity2l","instab","ccodeyear","totalwars","everwar"
"1",2,1945,0,0,7.62599992752075,11.8562955856323,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21945,0,0
"2",2,1946,0,0,7.62599992752075,11.8562955856323,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21946,0,0
"3",2,1947,0,0,7.65399980545044,11.8631315231323,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21947,0,0
"4",2,1948,0,0,8.02499961853027,11.8685913085938,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21948,0,0
"5",2,1949,0,0,8.27000045776367,11.8867349624634,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21949,0,0
"6",2,1950,0,0,8.03999996185303,11.9048795700073,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21950,0,0
"7",2,1951,0,0,8.77200031280518,11.9334306716919,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21951,0,0
"8",2,1952,0,0,9.10900020599365,11.9511804580688,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21952,0,0
"9",2,1953,0,0,9.07400035858154,11.9686212539673,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21953,0,0
"10",2,1954,0,0,9.30000019073486,11.9858932495117,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21954,0,0
"11",2,1955,0,0,9.08899974822998,12.0027437210083,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21955,0,0
"12",2,1956,0,0,9.72299957275391,12.0193157196045,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21956,0,0
"13",2,1957,0,0,9.71199989318848,12.0369558334351,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21957,0,0
"14",2,1958,0,0,9.64299964904785,12.0542898178101,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21958,0,0
"15",2,1959,0,0,9.36999988555908,12.0712089538574,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21959,0,0
"16",2,1960,0,0,9.83899974822998,12.0879650115967,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21960,0,0
"17",2,1961,0,0,9.89500045776367,12.1044445037842,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21961,0,0
"18",2,1962,0,0,9.94600009918213,12.1209888458252,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21962,0,0
"19",2,1963,0,0,10.3579998016357,12.1363849639893,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21963,0,0
"20",2,1964,0,0,10.6420001983643,12.1507921218872,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21964,0,0
"21",2,1965,0,0,11.0719995498657,12.1646718978882,3.21486783027649,0,1,0.356950104236603,0.595999956130981,0,10,0,21965,0,0
