"V1","V2","V3","V4","V5","V6"
0.0886850543200423,0.163423359981056,0.138321889070232,0.130554522493537,0.137674130989667,0.155092745357504
0.078405415362801,0.127621643139153,0.0961078595271206,0.107106628630592,0.0958983034533189,0.132456723066086
0.0590772921701682,0.0851595955538725,0.0782001846809434,0.0870930352249695,0.0778017748218745,0.148077189171189
0.088042690099628,0.066001794052548,0.0589202543562083,0.0737151261045157,0.0588077124919106,0.124523379027424
0.152856872481576,0.158282705408109,0.133254433990138,0.180229609568481,0.132158460421219,0.15862722417146
0.155834781942567,0.125716525496773,0.0951132957002995,0.162473806143706,0.0948908278737135,0.141558453813702
0.13920960068745,0.0822113391924229,0.0757928011336841,0.11686307235418,0.0755435179192718,0.167025269177735
0.187879713356011,0.0656882879282157,0.057700116287939,0.113536841596667,0.0575245071718252,0.138792601824542
0.0905466241980407,0.139456021332693,0.0804910186388034,0.0773135231836169,0.0790545546043552,711613225016.456
0.0620847007955165,0.122900590738583,0.0602358325303626,0.0585301696578541,0.0594620508343891,2416104607822.19
0.0697348915596404,0.0640051622796979,0.0486757241347731,0.0491769893838604,0.0484084291160948,4776513971747.23
0.0623447207015202,0.0567347498124476,0.0350259814121326,0.0351829202374263,0.0349237614751229,368833479562.837
0.0635620112532864,0.13527257247715,0.0780278828307282,0.0845469454517813,0.0765524122674538,1474706315072.59
0.0462780330023963,0.121246448101266,0.0608759461910319,0.0700752459322225,0.0600831457073918,2815031487202.92
0.0424264220542847,0.0635817457090454,0.0490394237732899,0.054298596415611,0.048809598086292,2751631799875.28
0.0325960345060019,0.0551862718384403,0.0349685688527106,0.0387505962305583,0.0348392363941241,228039164227.187
